epoch,CatAccuracy,CosineSim,TopKAccuracy,loss,val_CatAccuracy,val_CosineSim,val_TopKAccuracy,val_loss
0,0.4145006537437439,0.29156699776649475,0.6704084277153015,1.287302851676941,0.45439013838768005,0.3912493586540222,0.6904193162918091,1.2451552152633667
1,0.46281081438064575,0.41829273104667664,0.69611656665802,1.2357022762298584,0.4736781120300293,0.4683488607406616,0.7042326927185059,1.2196310758590698
2,0.4772172272205353,0.45758727192878723,0.7061813473701477,1.2173811197280884,0.48235759139060974,0.47114190459251404,0.7097021341323853,1.209998369216919
3,0.4854608178138733,0.4743846654891968,0.7119536399841309,1.2063575983047485,0.4859386086463928,0.4790862500667572,0.7117424011230469,1.2070696353912354
4,0.4910185933113098,0.48579341173171997,0.716296374797821,1.198570966720581,0.488690584897995,0.4904318153858185,0.7147337794303894,1.200583577156067
5,0.4953141212463379,0.49104830622673035,0.719301164150238,1.1927779912948608,0.49005839228630066,0.49157261848449707,0.7157370448112488,1.1983096599578857
6,0.4988284111022949,0.49352675676345825,0.7218344807624817,1.1877918243408203,0.492617130279541,0.5054897665977478,0.7175073027610779,1.196903944015503
7,0.5025501847267151,0.4978445768356323,0.7248592972755432,1.1821786165237427,0.49195414781570435,0.4759165048599243,0.7177044153213501,1.1956627368927002
8,0.5057721138000488,0.5061193108558655,0.7276186347007751,1.1772350072860718,0.49335169792175293,0.49633827805519104,0.7181668281555176,1.1932884454727173
9,0.508647084236145,0.5180773138999939,0.7297756671905518,1.1729108095169067,0.49591344594955444,0.5325368642807007,0.7196890115737915,1.1894500255584717
10,0.51259446144104,0.5315596461296082,0.7329912185668945,1.1670067310333252,0.4973386228084564,0.532012939453125,0.7203636765480042,1.188708782196045
11,0.5161359310150146,0.5417234897613525,0.7359594106674194,1.1615694761276245,0.4971151649951935,0.5331304669380188,0.7207027077674866,1.1881966590881348
12,0.5192177295684814,0.5472841262817383,0.7384109497070312,1.156636118888855,0.49879223108291626,0.5462227463722229,0.7214683294296265,1.1870663166046143
13,0.5219049453735352,0.5553461313247681,0.7406942844390869,1.1524600982666016,0.49917441606521606,0.5355396270751953,0.721987247467041,1.1884044408798218
14,0.5243661999702454,0.5605213642120361,0.7428120970726013,1.1484452486038208,0.5002458691596985,0.5485052466392517,0.7217296957969666,1.1883957386016846
15,0.526451587677002,0.5640496015548706,0.7446224093437195,1.1449588537216187,0.49988654255867004,0.5329298973083496,0.7216572761535645,1.1867669820785522
16,0.5282208919525146,0.5696988105773926,0.7461712956428528,1.141815185546875,0.5005460977554321,0.5547078251838684,0.7224099636077881,1.1844866275787354
17,0.530283510684967,0.5730518698692322,0.7478860020637512,1.138818383216858,0.5005430579185486,0.5520046353340149,0.7223560214042664,1.1852067708969116
18,0.5318395495414734,0.5770638585090637,0.7493178248405457,1.1360061168670654,0.5006280541419983,0.5516761541366577,0.7212621569633484,1.1884411573410034
19,0.5331356525421143,0.5785310864448547,0.7505131959915161,1.1337679624557495,0.50089031457901,0.5492969155311584,0.7221563458442688,1.1872062683105469
20,0.5347570180892944,0.5822052359580994,0.751941978931427,1.131197452545166,0.5011240839958191,0.5488391518592834,0.7234960794448853,1.1854132413864136
21,0.535912811756134,0.5830751061439514,0.7529196739196777,1.1292104721069336,0.5019535422325134,0.5626283288002014,0.7242009043693542,1.1839613914489746
22,0.5372218489646912,0.587583601474762,0.754095196723938,1.1271110773086548,0.5021567344665527,0.5652440190315247,0.7229228019714355,1.186499834060669
23,0.5383201241493225,0.5893217325210571,0.7549192309379578,1.1252185106277466,0.5019371509552002,0.5627703666687012,0.7234671711921692,1.1856191158294678
24,0.5394026041030884,0.5896279215812683,0.7560820579528809,1.1233985424041748,0.5011146068572998,0.558620274066925,0.7232290506362915,1.1850740909576416
25,0.5403463840484619,0.592347264289856,0.7568346858024597,1.1218106746673584,0.5018522143363953,0.5643863677978516,0.7228779792785645,1.185202717781067
26,0.541385293006897,0.5936745405197144,0.7576478123664856,1.1199095249176025,0.5020920038223267,0.5697407126426697,0.7235594987869263,1.182908058166504
27,0.5422431826591492,0.595217764377594,0.7584100961685181,1.1185680627822876,0.5019992589950562,0.5730410814285278,0.7231717109680176,1.1859254837036133
28,0.5431218147277832,0.5973336696624756,0.7591019868850708,1.1171624660491943,0.5026566386222839,0.5623382329940796,0.7229810357093811,1.1826788187026978
29,0.543816864490509,0.5984660387039185,0.7597845792770386,1.115769386291504,0.5020864009857178,0.5647525787353516,0.7214968204498291,1.1849287748336792
30,0.5447450876235962,0.6000093221664429,0.7606199979782104,1.1145331859588623,0.5023637413978577,0.5621970295906067,0.7213613390922546,1.1876237392425537
31,0.5453066825866699,0.6001154780387878,0.7612230181694031,1.113365650177002,0.5023831725120544,0.5726655721664429,0.7232459187507629,1.1868650913238525
32,0.5458900332450867,0.6021884679794312,0.761782169342041,1.112179160118103,0.5026683211326599,0.5746892094612122,0.7235344648361206,1.1856670379638672
33,0.5467087626457214,0.603387713432312,0.762496829032898,1.1109172105789185,0.5023102760314941,0.5730143785476685,0.7213363647460938,1.1900999546051025
